truckid,driverid,rdate,miles,gas,mpg
A1,A1,13-Jun,9217,1914,4.815569488
A1,A1,13-May,8769,1892,4.634778013
A1,A1,13-Apr,14234,3008,4.732047872
A1,A1,13-Mar,11519,2262,5.09239611
A1,A1,13-Feb,8676,1596,5.436090226
A1,A1,13-Jan,10025,1878,5.338125666
A1,A1,12-Dec,12647,2331,5.425568426
A1,A1,12-Nov,10214,2054,4.972736125
A1,A1,12-Oct,10807,2134,5.064198688
A1,A1,12-Sep,11127,2191,5.078502967
A1,A1,12-Aug,9754,1967,4.958820539
A1,A1,12-Jul,12925,2578,5.013576416
A1,A1,12-Jun,15792,3313,4.766676728
A1,A1,12-May,9052,1878,4.820021299
A1,A1,12-Apr,11062,2150,5.145116279
A1,A1,12-Mar,13594,2824,4.813739377
A1,A1,12-Feb,11019,2324,4.741394148
A1,A1,12-Jan,9222,1902,4.848580442
A1,A1,11-Dec,8565,1745,4.908309456
A1,A1,11-Nov,10410,1943,5.357694287
A1,A1,11-Oct,13450,3047,4.41417788
A1,A1,11-Sep,10446,2112,4.946022727
A1,A1,11-Aug,10378,2201,4.715129487
A1,A1,11-Jul,9014,1598,5.640801001
A1,A1,11-Jun,9466,2642,3.582891749
A1,A1,11-May,14175,2642,5.365253596
A1,A1,11-Apr,11573,2642,4.380393641
A1,A1,11-Mar,13055,2642,4.941332324
A1,A1,11-Feb,14614,2642,5.531415594
A1,A1,11-Jan,14099,2642,5.336487509
A1,A1,10-Dec,15174,2642,5.74337623
A1,A1,10-Nov,10635,2642,4.025359576
A1,A1,10-Oct,12105,2642,4.581756245
A1,A1,10-Sep,10130,2642,3.834216503
A1,A1,10-Aug,11344,2642,4.293716881
A1,A1,10-Jul,10622,2642,4.020439061
A1,A1,10-Jun,10747,2642,4.067751703
A1,A1,10-May,12976,2642,4.911430734
A1,A1,10-Apr,13221,2642,5.004163512
A1,A1,10-Mar,10435,2642,3.949659349
A1,A1,10-Feb,12839,2642,4.859576079
A1,A1,10-Jan,8969,2642,3.394776684
A1,A1,9-Dec,8795,2642,3.328917487
A1,A1,9-Nov,13668,2642,5.17335352
A1,A1,9-Oct,12414,2642,4.698713096
A1,A1,9-Sep,13300,2642,5.034065102
A1,A1,9-Aug,11698,2642,4.427706283
A1,A1,9-Jul,14207,2642,5.377365632
A1,A1,9-Jun,14062,2642,5.322482967
A1,A1,9-May,12073,2642,4.569644209
A1,A1,9-Apr,15276,2642,5.781983346
A1,A1,9-Mar,9880,2642,3.739591219
A1,A1,9-Feb,13861,2642,5.246404239
A1,A1,9-Jan,11176,2642,4.23012869
A2,A2,13-Jun,12058,2335,5.164025696
A2,A2,13-May,14314,2648,5.405589124
A2,A2,13-Apr,11050,2323,4.756780026
A2,A2,13-Mar,14114,3157,4.470700032
A2,A2,13-Feb,13583,2346,5.789855072
A2,A2,13-Jan,15362,3353,4.581568744
A2,A2,12-Dec,13608,2607,5.219792865
A2,A2,12-Nov,11236,2597,4.326530612
A2,A2,12-Oct,11380,1939,5.869004642
A2,A2,12-Sep,12934,2324,5.565404475
A2,A2,12-Aug,11848,2301,5.149065624
A2,A2,12-Jul,13206,3114,4.240847784
A2,A2,12-Jun,15316,3344,4.580143541
A2,A2,12-May,13838,2718,5.091243561
A2,A2,12-Apr,12024,2800,4.294285714
A2,A2,12-Mar,12693,2329,5.449978532
A2,A2,12-Feb,14392,2929,4.913622397
A2,A2,12-Jan,11134,2290,4.862008734
A2,A2,11-Dec,13911,2953,4.710802574
A2,A2,11-Nov,11542,2650,4.355471698
A2,A2,11-Oct,11296,2135,5.290866511
A2,A2,11-Sep,10224,2027,5.043907252
A2,A2,11-Aug,14595,3013,4.844009293
A2,A2,11-Jul,13769,2980,4.620469799
A2,A2,11-Jun,10377,1827,5.679802956
A2,A2,11-May,12786,1827,6.998357964
A2,A2,11-Apr,14364,1827,7.862068966
A2,A2,11-Mar,8978,1827,4.914066776
A2,A2,11-Feb,9259,1827,5.067870826
A2,A2,11-Jan,9545,1827,5.224411604
A2,A2,10-Dec,13100,1827,7.170224412
A2,A2,10-Nov,8529,1827,4.668308703
A2,A2,10-Oct,9667,1827,5.291187739
A2,A2,10-Sep,13264,1827,7.259989053
A2,A2,10-Aug,12070,1827,6.606458675
A2,A2,10-Jul,10367,1827,5.674329502
A2,A2,10-Jun,13829,1827,7.56923919
A2,A2,10-May,10942,1827,5.989053093
A2,A2,10-Apr,10463,1827,5.726874658
A2,A2,10-Mar,9406,1827,5.148330597
A2,A2,10-Feb,14755,1827,8.076081007
A2,A2,10-Jan,14043,1827,7.6863711
A2,A2,9-Dec,11656,1827,6.37985769
A2,A2,9-Nov,14744,1827,8.070060208
A2,A2,9-Oct,13797,1827,7.551724138
A2,A2,9-Sep,9660,1827,5.287356322
A2,A2,9-Aug,10283,1827,5.62835249
A2,A2,9-Jul,12034,1827,6.586754242
A2,A2,9-Jun,11719,1827,6.414340449
A2,A2,9-May,13912,1827,7.614668856
A2,A2,9-Apr,11892,1827,6.509031199
A2,A2,9-Mar,15158,1827,8.296661193
A2,A2,9-Feb,12774,1827,6.991789819
A2,A2,9-Jan,11743,1827,6.427476738
